,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
0,7.223888888888889,23.36861111111111,16.195,12.26,19,1,,,,,,,,
1,7.408055555555556,22.33888888888889,20.948611111111113,34.153,19,2,,,,,,,,
2,8.177222222222222,20.317777777777778,17.108055555555556,5.844,19,3,,,,,,,,
3,9.801666666666668,18.476388888888888,18.474166666666665,10.801,19,7,,,,,,,,
4,10.417499999999999,19.2125,19.211388888888887,5.703,19,8,,,,,,,,
5,13.389444444444443,4.0441666666666665,4.041666666666667,24.876,19,8,,,,,,,,
6,7.818888888888889,20.686666666666667,17.65111111111111,5.371,19,2,,,,,,,,
7,8.36111111111111,0.8272222222222222,0.8261111111111111,43.608,19,3,,,,,,,,
8,8.534444444444444,0.5952777777777778,19.058333333333334,5.82,19,8,,,,,,,,
9,8.68361111111111,19.709166666666665,17.752777777777776,5.851,19,1,,,,,,,,
10,11.761944444444444,2.199444444444444,22.253333333333334,15.391,19,6,,,,,,,,
11,12.345277777777778,0.12833333333333333,20.578055555555554,0.868,19,1,,,,,,,,
12,13.511944444444444,4.437777777777778,4.435277777777778,19.868,19,5,,,,,,,,
13,13.732222222222223,2.285833333333333,22.113055555555558,0.754,19,2,,,,,,,,
14,6.1561111111111115,2.3252777777777776,16.090277777777775,5.734,19,2,,,,,,,,
15,9.057222222222222,22.816111111111113,19.539722222222224,5.649,19,8,,,,,,,,
16,9.989999999999998,23.39361111111111,23.392222222222223,27.399,19,3,,,,,,,,
17,13.985277777777776,4.6625000000000005,4.66,18.756,19,6,,,,,,,,
18,7.3925,21.64361111111111,20.954722222222223,28.397,19,1,,,,,,,,
19,8.978055555555555,21.644444444444446,19.62472222222222,6.36,19,8,,,,,,,,
20,9.252777777777778,18.488611111111112,18.487222222222222,8.118,19,3,,,,,,,,
21,11.59888888888889,1.784722222222222,22.939444444444444,20.693,19,6,,,,,,,,
22,12.569444444444445,23.3925,22.764166666666668,13.405,19,4,,,,,,,,
23,14.066111111111113,5.243611111111111,5.24,21.974,19,8,,,,,,,,
24,16.27361111111111,2.964166666666667,2.9630555555555556,4.081,19,7,,,,,,,,
25,7.175277777777778,0.5411111111111111,0.5475,14.755,19,1,,,,,,,,
26,9.126944444444446,19.398055555555555,18.07777777777778,5.306,19,2,,,,,,,,
27,9.268055555555556,1.0519444444444446,19.704444444444444,5.707,19,8,,,,,,,,
28,10.130555555555556,1.2894444444444444,22.45638888888889,20.986,19,4,,,,,,,,
