,connectionTime,disconnectTime,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
865,14.868611111111111,0.78,1,111,420.0,267.0,21.36,80.0,147.0,14.871944444444445,1.0,17.31861111111111
866,14.909166666666668,0.9977777777777778,1,444,336.0,292.0,20.44,70.0,202.0,14.917499999999999,1.0,18.27583333333333
867,15.120555555555557,1.3191666666666666,1,450,526.0,600.0,24.0,40.0,342.0,15.126111111111111,1.0,20.820555555555554
868,15.186111111111112,1.483888888888889,1,109,4266.0,300.0,15.0,50.0,142.0,15.186111111111112,1.0,17.552777777777777
869,15.205277777777777,3.2958333333333334,1,106,376.0,400.0,8.0,20.0,212.0,15.213333333333333,1.0,18.738611111111112
870,15.471944444444444,1.2977777777777777,1,316,2299.0,400.0,20.0,50.0,254.0,15.471944444444444,1.0,19.705277777777777
871,15.538055555555555,2.298888888888889,1,319,4007.0,286.0,20.02,70.0,543.0,15.538055555555555,1.0,0.5880555555555556
872,15.660277777777779,1.5222222222222221,1,108,2276.0,400.0,20.0,50.0,163.0,15.670555555555556,1.0,18.376944444444444
873,15.699166666666667,1.3366666666666667,1,325,220.0,400.0,12.0,30.0,68.0,15.699166666666667,1.0,16.8325
874,15.798055555555555,3.607222222222222,1,324,1805.0,375.0,18.75,50.0,196.0,15.801111111111112,1.0,19.064722222222223
875,15.923333333333332,1.6527777777777777,1,436,2052.0,375.0,15.0,40.0,147.0,15.936666666666667,1.0,18.373333333333335
876,16.057222222222222,2.197222222222222,1,112,347.0,400.0,8.0,20.0,60.0,16.059722222222224,1.0,17.057222222222222
877,16.072222222222223,3.503888888888889,1,114,4449.0,450.0,40.5,90.0,414.0,16.078055555555554,1.0,22.97222222222222
878,16.253333333333334,1.8372222222222223,1,104,362.0,400.0,40.0,100.0,105.0,16.259444444444444,1.0,18.003333333333334
879,16.716944444444444,4.2975,1,103,2103.0,400.0,40.0,100.0,720.0,16.722777777777775,1.0,4.716944444444445
880,16.738333333333333,1.9436111111111112,1,110,379.0,400.0,20.0,50.0,155.0,16.74277777777778,1.0,19.321666666666665
881,18.615833333333335,4.393611111111111,1,108,405.0,400.0,8.0,20.0,157.0,18.621666666666666,1.0,21.232499999999998
882,18.674722222222222,4.0825,1,102,1626.0,400.0,32.0,80.0,234.0,18.67666666666667,1.0,22.57472222222222
883,19.419722222222223,8.00388888888889,1,106,726.0,400.0,32.0,80.0,494.0,19.42,1.0,3.6530555555555555
884,20.194166666666668,7.575833333333333,1,110,382.0,400.0,20.0,50.0,205.0,20.208055555555553,1.0,23.610833333333336
